fix.acid,vol.acid,citric,sugar,chlorides,free.sd,total.sd,density,pH,sulphates,alcohol,label
5.9,0.37,0.32,1.6,0.029,41,102,1,3.41,0.55,12.7,GOOD
10.6,0.34,0.49,3.2,0.078,20,78,2,3.19,0.7,10,GOOD
7.5,0.27,0.79,11.95,0.04,51,159,2,2.98,0.44,8.7,BAD
7.3,0.24,0.41,13.6,0.05,41,178,2,3.37,0.43,9.7,BAD
9.1,0.34,0.42,1.8,0.058,9,18,2,3.18,0.55,11.4,BAD
7.6,0.31,0.49,13.4,0.062,50,191,2,3.22,0.53,9,BAD
7.8,0.57,0.09,2.3,0.065,34,45,2,3.46,0.74,12.7,GOOD
6.5,0.35,0.28,12.4,0.051,86,213,2,3.16,0.51,9.9,GOOD
7.4,0.27,0.26,11.8,0.053,55,173,2,3.11,0.6,9.8,BAD
9.2,0.71,0.23,6.2,0.042,15,93,2,2.89,0.34,10.1,GOOD
8,0.77,0.32,2.1,0.079,16,74,2,3.27,0.5,9.8,GOOD
6.9,0.34,0.36,1.4,0.032,13,145,2,3.07,0.52,9.8,BAD
6.9,0.4,0.3,10.6,0.033,24,87,2,3.15,0.45,12.8,GOOD
6.2,0.64,0.09,2.5,0.081,15,26,2,3.57,0.63,12,BAD
7.1,0.25,0.28,1.2,0.04,31,111,2,3.18,0.53,11.1,BAD
6.6,0.41,0.24,4.9,0.158,47,144,2,3.17,0.49,9.4,BAD
6.7,0.46,0.27,5.2,0.039,35,96,2,3.16,0.44,12.4,GOOD
6.5,0.26,0.39,1.4,0.02,12,66,2,3.25,0.75,11.3,GOOD
7.6,0.19,0.32,18.75,0.047,32,193,3,3.1,0.5,9.3,GOOD
7.1,0.24,0.34,1.2,0.045,6,132,2,3.16,0.46,11.2,BAD
7,0.24,0.51,11,0.029,55,227,2,3.03,0.61,9.5,BAD
7.4,0.64,0.07,1.8,0.1,8,23,2,3.3,0.58,9.6,BAD
7.1,0.2,0.27,9.6,0.037,19,105,2,3.04,0.37,10.5,GOOD
10.2,0.24,0.49,2.4,0.075,10,28,2,3.14,0.61,10.4,BAD
8.2,0.38,0.49,13.6,0.042,58,166,2,3.1,0.54,9.4,BAD
6.3,0.29,0.14,7.05,0.045,50,177,2,3.23,0.42,9,BAD
7.4,0.35,0.2,13.9,0.054,63,229,2,3.11,0.5,8.9,GOOD
6.4,0.475,0.06,1,0.03,9,131,2,2.97,0.29,10.8,BAD
6.4,0.22,0.38,9.1,0.044,35,127,2,2.97,0.3,11,GOOD
5.6,0.26,0,10.2,0.038,13,111,2,3.44,0.46,12.4,GOOD
8,0.18,0.37,0.9,0.049,36,109,2,2.89,0.44,12.7,GOOD
7.1,0.32,0.32,11,0.038,16,66,2,3.24,0.4,11.5,BAD
11.1,0.45,0.73,3.2,0.066,6,22,2,3.17,0.66,11.2,GOOD
6.7,0.24,0.32,9,0.023,20,109,2,3.34,0.35,12.6,GOOD
6.9,0.26,0.31,7,0.039,37,175,2,3.32,0.49,11.4,GOOD
6.8,0.3,0.33,12.8,0.041,60,168,2,3.1,0.56,9.8,BAD
6.5,0.46,0.24,11.5,0.051,56,171,2,3.08,0.56,9.8,GOOD
12.3,0.27,0.49,3.1,0.079,28,46,2,3.2,0.8,10.2,GOOD
6.5,0.3,0.39,7.8,0.038,61,219,2,3.19,0.5,9.4,BAD
6.7,0.24,0.31,2.3,0.044,37,113,2,3.29,0.46,12.9,GOOD
7.4,0.2,1.66,2.1,0.022,34,113,2,3.26,0.55,12.2,GOOD
6.9,0.24,0.49,1.3,0.032,35,148,2,3.45,0.57,10.7,GOOD
6.6,0.25,0.51,8,0.047,61,189,2,3.22,0.49,9.2,BAD
5.9,0.19,0.21,1.7,0.045,57,135,2,3.32,0.44,9.5,BAD
6.6,0.22,0.36,5.5,0.029,30,105,2,3.2,0.47,11.8,GOOD
7.6,0.3,0.22,10.2,0.049,57,191,2,3.08,0.4,9.3,GOOD
7.1,0.29,0.49,1.2,0.031,32,99,1,3.07,0.33,12.2,GOOD
6.7,0.64,0.3,1.2,0.03,18,76,1,3.16,0.6,12.9,BAD
7.8,0.82,0.29,4.3,0.083,21,64,2,3.16,0.53,9.4,BAD
7.3,0.23,0.24,0.9,0.031,29,86,1,2.9,0.38,12.2,GOOD
7.8,0.26,0.74,7.5,0.044,59,160,2,3.22,0.64,10,GOOD
6,0.32,0.33,9.9,0.032,22,90,2,3.1,0.43,12.1,GOOD
6.8,0.11,0.27,8.6,0.044,45,104,2,3.2,0.37,9.9,GOOD
8.2,0.28,0.6,3,0.104,10,22,2,3.39,0.68,10.6,BAD
7.1,0.32,0.24,13.1,0.05,52,204,2,3.1,0.49,8.8,BAD
5.2,0.17,0.27,0.7,0.03,11,68,2,3.3,0.41,9.8,BAD
5.8,0.23,0.2,2,0.043,39,154,2,3.21,0.39,10.2,GOOD
6.7,0.53,0.29,4.3,0.069,20,114,2,3.22,0.59,13.4,GOOD
7.1,0.18,0.32,12.2,0.048,36,125,2,2.92,0.54,9.4,GOOD
6.1,0.34,0.21,5,0.042,17,133,2,3.02,0.53,9.4,BAD
6.2,0.31,0.26,4.8,0.037,36,148,2,3.21,0.41,10.4,GOOD
6.1,0.32,0.25,2.3,0.071,23,58,2,3.42,0.97,10.6,BAD
6.9,0.29,0.3,8.2,0.026,35,112,2,3,0.37,12.3,GOOD
6.9,0.25,0.24,1.8,0.053,6,121,2,3.23,0.7,11.4,BAD
6.4,0.25,0.32,11.3,0.038,69,192,2,3.14,0.5,10.2,GOOD
7,0.21,0.28,8.6,0.045,37,221,2,3.25,0.54,10.4,GOOD
6.9,0.48,0.36,3.5,0.03,31,135,2,3.14,0.38,12.2,GOOD
6.6,0.24,0.27,10.3,0.047,54,219,2,3.04,0.45,8.8,BAD
12.4,0.35,0.49,2.6,0.079,27,69,2,3.12,0.75,10.4,GOOD
5.8,0.33,0.23,5,0.053,29,106,2,3.13,0.52,9,BAD
6.7,0.47,0.29,4.75,0.034,29,134,2,3.29,0.46,13,GOOD
7,0.27,0.36,20.7,0.045,45,170,3,3,0.45,8.8,GOOD
6.9,0.54,0.04,3,0.077,7,27,2,3.69,0.91,9.4,GOOD
7.4,0.19,0.31,14.5,0.045,39,193,2,3.1,0.5,9.2,GOOD
6.4,0.2,0.15,6.6,0.046,26,113,2,2.99,0.58,9.9,GOOD
6.8,0.47,0.08,2.2,0.064,18,38,2,3.3,0.65,9.6,GOOD
6.1,0.16,0.34,6.1,0.034,31,114,2,3.32,0.58,10.1333333333333,GOOD
7.8,0.19,0.26,8.9,0.039,42,182,2,3.18,0.46,9.9,GOOD
8.4,0.67,0.19,2.2,0.093,11,75,2,3.2,0.59,9.2,BAD
6,0.21,0.38,0.8,0.02,22,98,1,3.26,0.32,11.8,GOOD
7.1,0.2,0.31,6.85,0.053,32,211,2,3.31,0.59,10.4,GOOD
6.8,0.28,0.6,1.1,0.132,42,127,2,3.09,0.44,9.1,GOOD
7.6,0.2,0.26,4.8,0.033,26,76,2,2.98,0.49,12.3,GOOD
6,0.25,0.28,2.2,0.026,54,126,1,3.43,0.65,12.9,GOOD
7,0.2,0.33,4.7,0.03,25,76,2,2.88,0.54,10.5,GOOD
8.9,0.5,0.21,2.2,0.088,21,39,2,3.33,0.83,11.1,GOOD
7.8,0.53,0.33,2.4,0.08,24,144,2,3.3,0.6,9.5,BAD
6.7,0.48,0.32,1.4,0.021,22,121,1,3.15,0.53,12.7,GOOD
8.1,0.575,0.22,2.1,0.077,12,65,2,3.29,0.51,9.2,BAD
8.3,0.28,0.48,2.1,0.093,6,12,2,3.26,0.62,12.4,GOOD
6.4,0.29,0.2,15.6,0.04,20,142,2,3.1,0.54,10.6,BAD
6.5,0.22,0.19,4.5,0.096,16,115,2,3.02,0.44,9.6,BAD
7.4,0.21,0.27,1.2,0.041,27,99,2,3.19,0.33,9.8,GOOD
5.8,0.29,0.26,1.7,0.063,3,11,2,3.39,0.54,13.5,GOOD
7.6,0.28,0.39,1.2,0.038,21,115,2,3.16,0.67,10,GOOD
6.8,0.22,0.3,10.6,0.07,67,194,2,2.89,0.42,9,GOOD
7.2,0.32,0.3,8.25,0.02,14,104,2,2.99,0.44,11.4,GOOD
6.4,0.42,0.74,12.8,0.076,48,209,2,3.12,0.58,9,GOOD
8.8,0.46,0.45,2.6,0.065,7,18,2,3.32,0.79,14,GOOD
7.2,0.685,0.21,9.5,0.07,33,172,2,3,0.55,9.1,GOOD
7.3,0.67,0.02,2.2,0.072,31,92,2,3.32,0.68,11.1,GOOD
8.3,0.19,0.49,1.2,0.051,11,137,2,3.06,0.46,11,GOOD
5,0.17,0.56,1.5,0.026,24,115,2,3.48,0.39,10.8,GOOD
7.4,0.28,0.49,1.5,0.034,20,126,2,2.98,0.39,10.6,GOOD
5.8,0.34,0.21,6.6,0.04,50,167,2,3.29,0.62,10,BAD
7.7,0.12,0.32,1.4,0.06,47,150,2,3.37,0.42,9.2,GOOD
6.8,0.21,0.27,18.15,0.042,41,146,3,3.3,0.36,8.7,BAD
8.3,0.43,0.3,3.4,0.079,7,34,2,3.36,0.61,10.5,BAD
11.9,0.39,0.69,2.8,0.095,17,35,2,3.1,0.61,10.8,GOOD
6.3,0.39,0.24,6.9,0.069,9,117,2,3.15,0.35,10.2,BAD
6.8,0.27,0.12,1.3,0.04,87,168,2,3.18,0.41,10,BAD
6,0.29,0.41,10.8,0.048,55,149,2,3.09,0.59,10.9666666666667,GOOD
6.7,0.24,0.41,2.9,0.039,48,122,2,3.25,0.43,12,BAD
7.1,0.21,0.32,2.2,0.037,28,141,2,3.2,0.57,10,GOOD
6.4,0.17,0.27,9.9,0.047,26,101,2,3.34,0.5,9.9,GOOD
8.6,0.49,0.28,1.9,0.11,20,136,2,2.93,1.95,9.9,GOOD
8.5,0.3,0.28,3.1,0.054,54,174,2,3.21,0.43,9.4,GOOD
7.3,0.4,0.3,1.7,0.08,33,79,2,3.41,0.65,9.5,GOOD
5.7,0.22,0.2,16,0.044,41,113,2,3.22,0.46,8.9,GOOD
7.9,0.65,0.01,2.5,0.078,17,38,2,3.34,0.74,11.7,GOOD
7.3,0.52,0.32,2.1,0.07,51,70,2,3.34,0.82,12.9,GOOD
7,0.685,0,1.9,0.099,9,22,2,3.34,0.6,9.7,BAD
6.4,0.38,0.2,5.3,0.117,57,181,2,3.24,0.43,9.5,GOOD
6,0.51,0,2.1,0.064,40,54,2,3.54,0.93,10.7,GOOD
5.8,0.3,0.27,1.7,0.014,45,104,1,3.4,0.56,12.6,GOOD
6.9,0.26,0.49,1.6,0.058,39,166,2,3.65,0.52,9.4,BAD
7.8,0.31,0.4,1.6,0.027,20,87,2,3.15,0.48,11.9,GOOD
6.8,0.34,0.1,1.4,0.049,29,118,2,3.21,0.41,9.5,BAD
7.9,0.3,0.68,8.3,0.05,37.5,278,2,3.01,0.51,12.3,GOOD
6.8,0.18,0.3,12.8,0.062,19,171,2,3,0.52,9,GOOD
7.2,0.2,0.61,16.2,0.043,14,103,2,3.06,0.36,9.2,GOOD
5.6,0.21,0.24,4.4,0.027,37,150,2,3.3,0.31,11.5,GOOD
10.6,0.28,0.39,15.5,0.069,6,23,3,3.12,0.66,9.2,BAD
7.2,0.39,0.63,11,0.044,55,156,2,3.09,0.44,8.7,GOOD
6.8,0.2,0.36,1.6,0.028,7,46,2,3.21,0.6,10.9,GOOD
7.8,0.3,0.4,1.8,0.028,23,122,2,3.14,0.39,10.9,GOOD
5.9,0.32,0.26,1.5,0.057,17,141,2,3.24,0.36,10.7,BAD
6,0.28,0.27,2.3,0.051,23,147,2,3.23,0.67,10.3,GOOD
6.4,0.69,0.09,7.6,0.044,34,144,2,3.26,0.38,10.1,GOOD
9.4,0.41,0.48,4.6,0.072,10,20,2,3.34,0.79,12.2,GOOD
8,0.25,0.35,1.1,0.054,13,136,2,3.08,0.55,9.5,BAD
10.7,0.67,0.22,2.7,0.107,17,34,3,3.28,0.98,9.9,GOOD
6.1,0.125,0.25,3.3,0.04,10,69,2,3.54,0.59,10.1,GOOD
8.4,0.2,0.38,11.8,0.055,51,170,3,3.34,0.82,8.9,GOOD
5.6,0.26,0.18,1.4,0.034,18,135,2,3.32,0.35,10.2,GOOD
6.4,0.22,0.31,13.9,0.04,57,135,2,3.21,0.38,10.7,BAD
6.7,0.48,0.49,2.9,0.03,28,122,1,3.13,0.4,13,GOOD
7.5,0.24,0.31,13.1,0.05,26,180,2,3.05,0.53,9.1,GOOD
5.9,0.28,0.14,8.6,0.032,30,142,2,3.28,0.44,9.5,GOOD
8.2,0.23,0.4,1.2,0.027,36,121,2,3.12,0.38,10.7,GOOD
8,0.36,0.43,10.1,0.053,29,146,2,3.4,0.46,9.5,GOOD
6.7,0.27,0.33,3.6,0.034,9,45,2,3.08,0.4,10.5,GOOD
6,0.29,0.21,1.3,0.055,42,168,2,3.32,0.43,11.1,GOOD
6.3,0.2,0.18,10.6,0.045,57,159,2,3.09,0.54,9.2,BAD
8.9,0.12,0.45,1.8,0.075,10,21,2,3.41,0.76,11.9,GOOD
7.6,0.2,0.68,12.9,0.042,56,160,2,3.05,0.41,8.7,BAD
6.9,0.32,0.13,7.8,0.042,11,117,2,3.23,0.37,9.2,BAD
8.9,0.38,0.4,2.2,0.068,12,28,2,3.27,0.75,12.6,GOOD
7.6,0.18,0.36,2.4,0.049,38,123,2,3.6,0.46,10.3,BAD
7,0.3,0.28,2.2,0.042,21,177,2,3.2,0.57,11.4,BAD
6.9,0.38,0.32,8.5,0.044,36,152,2,3.38,0.35,12,GOOD
11.6,0.53,0.66,3.65,0.121,6,14,2,3.05,0.74,11.5,GOOD
6.5,0.26,0.27,12.9,0.044,69,215,2,3.17,0.43,10,GOOD
7.2,0.115,0.3,6.8,0.056,26,105,2,3.44,0.4,9.6,GOOD
6.6,0.19,0.28,1.1,0.044,38,100,2,3.22,0.69,11.2,GOOD
8.8,0.955,0.05,1.8,0.075,5,19,2,3.3,0.44,9.6,BAD
5,0.29,0.54,5.7,0.035,54,155,1,3.27,0.34,12.9,GOOD
8.1,0.36,0.59,13.6,0.051,60,134,2,2.96,0.39,8.7,BAD
6.9,0.4,0.17,12.9,0.033,59,186,2,3.08,0.49,9.4,BAD
9.9,0.53,0.57,2.4,0.093,30,52,2,3.19,0.76,11.6,GOOD
10,0.41,0.45,6.2,0.071,6,14,2,3.21,0.49,11.8,GOOD
6.9,0.33,0.62,7.5,0.038,46,132,2,3.23,0.43,13.4,GOOD
6.4,0.225,0.48,2.2,0.115,29,104,2,3.24,0.58,12.1,GOOD
7.4,0.3,0.49,8.2,0.055,49,188,2,3.52,0.58,9.7,GOOD
6.9,0.19,0.28,3,0.054,33,99,2,3.16,0.4,10.8,GOOD
10.5,0.26,0.47,1.9,0.078,6,24,2,3.18,1.04,10.9,GOOD
9.5,0.735,0.1,2.1,0.079,6,31,2,3.23,0.56,10.1,GOOD
7.1,0.2,0.37,1.5,0.049,28,129,2,3.15,0.52,10.8,BAD
9.7,0.295,0.4,1.5,0.073,14,21,2,3.14,0.51,10.9,GOOD
5.4,0.42,0.27,2,0.092,23,55,2,3.78,0.64,12.3,GOOD
7.5,0.42,0.14,10.7,0.046,18,95,2,3.22,0.33,10.7,BAD
5.7,0.37,0.3,1.1,0.029,24,88,1,3.18,0.39,11.7,GOOD
6.6,0.4,0.32,1.7,0.035,39,84,2,3.59,0.48,12.7,GOOD
5.9,0.415,0.13,1.4,0.04,11,64,2,3.29,0.52,10.5,BAD
5.9,0.34,0.31,2,0.03,38,142,1,3.4,0.41,12.9,GOOD
7.1,0.24,0.41,17.8,0.046,39,145,2,3.32,0.39,8.7,BAD
8.9,0.24,0.33,15.75,0.035,16,132,2,3,0.37,12.1,GOOD
8.8,0.23,0.35,10.7,0.04,26,183,2,2.93,0.49,9.1,GOOD
7,0.33,0.78,9.9,0.042,21,251,2,3.01,0.55,11,GOOD
7.7,0.44,0.24,11.2,0.031,41,167,2,3.12,0.43,11.3,GOOD
6.7,0.37,0.25,2.5,0.028,24,84,2,3.14,0.36,11.7,GOOD
6.2,0.21,0.27,1.7,0.038,41,150,2,3.49,0.71,10.5,GOOD
7.1,0.72,0,1.8,0.123,6,14,2,3.45,0.58,9.8,BAD
7.1,0.36,0.2,1.6,0.271,24,140,2,3.11,0.63,9.8,BAD
6.2,0.22,0.3,12.4,0.054,108,152,2,3.1,0.47,9.5,GOOD
5.9,0.3,0.47,7.85,0.03,19,133,2,3.52,0.43,11.5,GOOD
7.1,0.21,0.27,8.6,0.056,26,111,2,2.95,0.52,9.5,BAD
7.5,0.21,0.68,10.9,0.045,38,133,2,3,0.36,8.7,BAD
5.4,0.17,0.27,2.7,0.049,28,104,2,3.46,0.55,10.3,GOOD
6,0.27,0.27,1.6,0.046,32,113,2,3.41,0.51,10.5,GOOD
8.7,0.7,0.24,2.5,0.226,5,15,2,3.32,0.6,9,GOOD
9.1,0.37,0.32,2.1,0.064,4,15,2,3.3,0.8,11.2,GOOD
6.9,0.35,0.74,1,0.044,18,132,2,3.13,0.55,10.2,BAD
8.1,0.24,0.32,10.5,0.03,34,105,2,3.11,0.42,11.8,GOOD
6.5,0.36,0.49,2.9,0.03,16,94,2,3.1,0.49,12.1,GOOD
8.6,0.37,0.65,6.4,0.08,3,8,2,3.27,0.58,11,BAD
8.9,0.33,0.34,1.4,0.056,14,171,2,3.13,0.47,9.7,BAD
6.3,0.34,0.27,2.5,0.024,40,152,2,3.35,0.6,11.9,GOOD
7.2,0.48,0.07,5.5,0.089,10,18,2,3.37,0.68,11.2,GOOD
8,0.18,0.49,1.8,0.061,10,145,2,3.23,0.48,10,BAD
7.3,0.34,0.3,1.3,0.057,25,173,2,3.26,0.51,9.1,GOOD
7.8,0.49,0.49,7,0.043,29,149,2,3.21,0.33,10,BAD
9.8,0.44,0.47,2.5,0.063,9,28,2,3.24,0.65,10.8,GOOD
6.9,0.24,0.4,15.4,0.052,81,198,2,3.2,0.69,9.4,BAD
7.9,0.26,0.33,10.3,0.039,73,212,2,2.93,0.49,9.5,GOOD
7.8,0.5,0.3,1.9,0.075,8,22,2,3.31,0.56,10.4,GOOD
8.2,0.35,0.4,6.3,0.039,35,162,2,3.15,0.34,11.9,GOOD
7.1,0.18,0.42,1.4,0.045,47,157,2,2.95,0.31,10.5,GOOD
7.3,0.18,0.65,1.4,0.046,28,157,2,3.33,0.62,9.4,GOOD
10.2,0.67,0.39,1.9,0.054,6,17,2,3.17,0.47,10,BAD
6.9,0.22,0.39,6,0.035,44,141,2,3.11,0.33,12.5,GOOD
6.1,0.38,0.47,1.4,0.051,59,210,2,3.24,0.5,9.6,BAD
6.2,0.3,0.21,1.1,0.032,31,111,1,2.97,0.42,12.2,GOOD
5.8,0.28,0.28,4.2,0.044,52,158,2,3.35,0.44,10.7,GOOD
8.8,0.44,0.49,2.8,0.083,18,111,2,3.3,0.6,9.5,BAD
8.8,0.33,0.41,5.9,0.073,7,13,2,3.3,0.62,12.1,GOOD
6.1,0.22,0.49,1.5,0.051,18,87,2,3.3,0.46,9.6,BAD
6.5,0.16,0.34,1.4,0.029,29,133,2,3.33,0.64,11.5,GOOD
6.2,0.28,0.27,10.3,0.03,26,108,2,3.2,0.36,10.7,GOOD
7.1,0.53,0.24,0.8,0.029,29,86,2,3.16,0.32,9.1,BAD
5.9,0.34,0.22,2.4,0.03,19,135,1,3.41,0.78,13.9,GOOD
12.9,0.35,0.49,5.8,0.066,5,35,3,3.2,0.66,12,GOOD
6,0.17,0.49,1,0.034,26,106,2,3.21,0.42,9.8,GOOD
8.2,0.27,0.39,7.8,0.039,49,208,2,3.31,0.51,9.5,GOOD
7.9,0.17,0.32,1.6,0.053,47,150,2,3.29,0.76,9.6,GOOD
7,0.3,0.51,13.6,0.05,40,168,2,3.07,0.52,9.6,GOOD
7,0.2,0.34,2.1,0.049,12,136,2,3.25,0.46,11.6,GOOD
7.6,0.735,0.02,2.5,0.071,10,14,2,3.51,0.71,11.7,GOOD
7.4,0.31,0.28,1.6,0.05,33,137,2,3.31,0.56,10.5,GOOD
8.2,0.23,0.42,1.9,0.069,9,17,2,3.21,0.54,12.3,GOOD
6.6,0.28,0.42,8.2,0.044,60,196,2,3.14,0.48,9.4,BAD
7.7,0.24,0.31,1.3,0.047,33,106,2,3.22,0.55,10.8,GOOD
7.9,0.35,0.28,12.9,0.032,13,63,2,2.99,0.43,13,GOOD
8.9,0.4,0.51,2.6,0.052,13,27,2,3.32,0.9,13.4,GOOD
6.1,0.28,0.22,1.8,0.034,32,116,1,3.36,0.44,12.6,GOOD
8.2,0.44,0.24,2.3,0.063,10,28,2,3.25,0.53,10.2,GOOD
7,0.34,0.1,3.5,0.044,17,63,2,3.01,0.39,9.2,BAD
7.6,0.22,0.28,12,0.056,68,143,2,2.99,0.3,9.2,GOOD
7.9,0.2,0.39,1,0.041,37,154,2,3.08,0.43,11.9,BAD
7,0.17,0.74,12.8,0.045,24,126,2,3.26,0.38,12.2,GOOD
7.6,0.2,0.39,2.6,0.044,30,180,2,3.46,0.44,10.8,GOOD
6.5,0.36,0.38,10.2,0.028,20,82,2,3.1,0.43,12.1,GOOD
6.4,0.17,0.27,6.7,0.036,88,223,2,3.28,0.35,10.2,GOOD
6.5,0.27,0.19,6.6,0.045,98,175,2,3.16,0.34,10.1,GOOD
5.8,0.29,0.27,1.6,0.062,17,140,2,3.23,0.35,11.1,GOOD
6.1,0.41,0.24,1.6,0.049,16,137,2,3.32,0.5,10.4,GOOD
7.2,0.46,0.65,10.4,0.05,76,192,2,3.16,0.42,8.7,BAD
9.3,0.38,0.48,3.8,0.132,3,11,2,3.23,0.57,13.2,GOOD
7.2,0.6,0.04,2.5,0.076,18,88,2,3.53,0.55,9.5,BAD
7.2,0.24,0.28,1.9,0.032,30,92,2,3.1,0.39,10.9,GOOD
8.2,0.17,0.32,1.5,0.05,17,101,2,3.14,0.58,9.5,BAD
7.2,0.15,0.39,1.8,0.043,21,159,2,3.52,0.47,10,BAD
8.3,0.2,0.74,4.45,0.044,33,130,2,3.25,0.42,12.2,GOOD
7.1,0.23,0.39,1.6,0.032,12,65,1,3.25,0.4,12.7,GOOD
6.2,0.36,0.24,2.2,0.095,19,42,2,3.57,0.57,11.7,GOOD
6.8,0.23,0.3,1.7,0.043,19,95,2,3.17,0.46,10.7,GOOD
8,0.26,0.36,2,0.054,30,121,2,3.09,0.72,11.6,GOOD
9.6,0.42,0.35,2.1,0.083,17,38,2,3.23,0.66,11.1,GOOD
6.8,0.27,0.3,13,0.047,69,160,2,3.16,0.5,9.6,GOOD
6,0.28,0.25,1.8,0.042,8,108,2,3.08,0.55,9,BAD
7.2,0.605,0.02,1.9,0.096,10,31,2,3.46,0.53,11.8,GOOD
6.9,0.33,0.21,1,0.053,39,148,2,3.12,0.45,9.4,GOOD
7.2,0.32,0.3,8.25,0.02,14,104,2,2.99,0.44,11.4,GOOD
7.6,0.95,0.03,2,0.09,7,20,2,3.2,0.56,9.6,BAD
6.9,0.32,0.3,1.8,0.036,28,117,2,3.24,0.48,11,GOOD
6.8,0.39,0.35,11.6,0.044,57,220,2,3.07,0.53,9.3,BAD
7.1,0.17,0.4,14.55,0.047,47,156,2,3.34,0.78,9.1,GOOD
6.6,0.24,0.27,15.8,0.035,46,188,2,3.24,0.51,9.2,BAD
6.8,0.64,0.03,2.3,0.075,14,31,2,3.36,0.58,10.4,GOOD
5.9,0.19,0.37,0.8,0.027,3,21,1,3.09,0.31,10.8,BAD
6.6,0.31,0.38,16.05,0.058,16,165,2,3.38,0.6,9.2,BAD
7.1,0.26,0.32,14.45,0.074,29,107,2,2.96,0.42,9.2,GOOD
6.7,0.42,0.27,8.6,0.068,24,148,2,3.16,0.57,11.3,GOOD
8.1,0.26,0.3,7.8,0.049,39,152,2,2.99,0.58,10,GOOD
9.5,0.59,0.44,2.3,0.071,21,68,2,3.46,0.63,9.5,BAD
7.2,0.39,0.62,11,0.047,66,178,2,3.16,0.5,8.7,BAD
7.2,0.19,0.39,1.2,0.036,32,85,2,3.16,0.5,10.5,BAD
11.6,0.58,0.66,2.2,0.074,10,47,3,3.25,0.57,9,BAD
7.3,0.22,0.37,14.3,0.063,48,191,2,2.89,0.38,9,GOOD
6.4,0.13,0.28,0.9,0.045,32,87,2,3.47,0.52,11.2,GOOD
6.7,0.27,0.33,3.6,0.034,9,45,2,3.08,0.4,10.5,GOOD
7,0.22,0.29,8.9,0.05,24,90,2,3.29,0.46,9.8,GOOD
6.2,0.34,0.25,12.1,0.059,33,171,2,3.14,0.56,8.7,GOOD
8.2,0.29,0.33,9.1,0.036,28,118,2,2.96,0.4,10.9,GOOD
6.8,0.67,0.02,1.8,0.05,5,11,2,3.48,0.52,9.5,BAD
6.1,0.17,0.28,2.5,0.028,22,98,2,3.16,0.37,11.1,GOOD
5.9,0.37,0.3,1.5,0.033,35,95,1,3.36,0.56,12,GOOD
