cleansed_text,created_at,class,is_unuseful,processed_text
"auch ich bedanke mich sehr für das nette Gespräch.



Da wir in Deutschland eine weiter steuerliche Veränderung haben, möchte ich Dich bitten, dass wir das Ticket a.) noch offen lassen und b.) ob es möglich wäre am kommenden Mittwoch nochmals telefonisch miteinander Rücksprache zu halten.



Danke und beste Grüße

Stefanie",2020-06-08 11:55:38.000000 UTC,chat,False,"Da wir in Deutschland eine weiter steuerliche Veränderung haben, möchte ich Dich bitten, dass wir das Ticket a.) noch offen lassen und b.) ob es möglich wäre am kommenden Mittwoch nochmals telefonisch miteinander Rücksprache zu halten.
Danke und beste Grüße"
"I will be out of the office the morning of April 12 th . For Shared Service assistance contact Gina Buccheri or Ellen Styles . For Concur T&E assistance email . For Concur Invoice assistance email . I will return you email when I return to the office later today.

Thank you.",2021-04-12 14:19:46.000000 UTC,chat,True,"I will be out of the office the morning of April 12 th . For Shared Service assistance contact Gina Buccheri or Ellen Styles . For Concur T&E assistance email . For Concur Invoice assistance email . I will return you email when I return to the office later today.
Thank you."
"Can you please review all the receipts I have attached – I attached my personal credit card statement for the hotel, as well as the hotel receipt which shows charges in pesos.  What else is needed?  This is getting really frustrating. Emails back and forth is not working – can you please call and let me know what else is needed so this report can be paid?



Thank you,

Tina



Tina Cantu

Director, NBS Employee Services



(440) 264.7040 work

(440) 336.5308 mobile







Please Note:  This e-mail, including any and all attachments, is intended only for the use of the individual or entity to which it is addressed and may include confidential information. If the reader of this e-mail is not the intended Recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. If you have received this communication in error, please notify the sender immediately by replying to this message and then delete this e-mail immediately.",2018-05-11 22:30:06.000000 UTC,chat,False,"Can you please review all the receipts I have attached – I attached my personal credit card statement for the hotel, as well as the hotel receipt which shows charges in pesos.  What else is needed?  This is getting really frustrating. Emails back and forth is not working – can you please call and let me know what else is needed so this report can be paid?
Thank you,
Please Note:  This e-mail, including any and all attachments, is intended only for the use of the individual or entity to which it is addressed and may include confidential information. If the reader of this e-mail is not the intended Recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. If you have received this communication in error, please notify the sender immediately by replying to this message and then delete this e-mail immediately."
"Case #: 13721494



Your request has been received by Field Services. You will be contacted soon by the assigned Case owner.



Use the link below to update your case. (Please do not send a new email).

Case Link:

https://sapconcur.my.salesforce.com/5000e00001YsPmv



Thank you,

The Field Services Team



Did you know?...

You can now create Cases for Field Services support directly from the Account and Opportunity pages, using the 'Create Case' button at the top of those pages.",2019-05-01 20:12:49.000000 UTC,chat,True,"Your request has been received by Field Services. You will be contacted soon by the assigned Case owner.
Use the link below to update your case. (Please do not send a new email).
Thank you,
Did you know?...
You can now create Cases for Field Services support directly from the Account and Opportunity pages, using the 'Create Case' button at the top of those pages."
"There seems to be a problem with Contact Support today. I can’t retrieve the ticket to view the attachment.



When I go to Entries it only shows that I have 10 reports. Is it possible I don’t have rights to see those reports?",2020-06-25 15:46:02.000000 UTC,chat,False,"There seems to be a problem with Contact Support today. I can’t retrieve the ticket to view the attachment.
When I go to Entries it only shows that I have 10 reports. Is it possible I don’t have rights to see those reports?"
"Hi Team,



Good day!



Please see below information with regards to the intended termination of Aesthetic Ambassadors from Concur Premier - Standard , Oracle Number : 21120



1. Client Name = Aesthetic Ambassadors

2. Platform they are terminating (CTE, Premier, Pro). If terminating Travel, provide the Cliqbook Site Name(s)  = Concur Premier - Standard

3. LifeCycle Stage (Production or Implementation) = Production



4. Disconnect Date = June 10, 2015

5. Total Lost Revenue = $1883.2

6. Disconnect Reason (Bankruptcy, Better Pricing, Brought In-House, Budget Cuts, Chose Competitor, Customer Service, Merger Acquisition, Feature Functionality, or No Activity). =  Feature Functionality

7. Does the client want a copy of their data and images? If they are converting to Premier, there is no charge. See your manager for the current pricing structure for providing archived data and receipt images.  - YES

8. ATTACH the Termination Notice.







Best regards,

Ailyn M. Equi

Client Success Manager



* : 

800-401-8412 extension 7781

: : Connect with us







Expense Support 1.877.901.4960, Travel Support 1.877.812.5060



Save time by l etting us review your user’s receipts and enforce your policies.  Request more info





This e-mail message is authorized for use by the intended recipient only and may contain information that is privileged and confidential. If you received this message in error, please call us immediately at (425) 590-5000 and ask to speak to the message sender. Please do not copy, disseminate, or retain this message unless you are the intended recipient. In addition, to ensure the security of your data, please do not send any unencrypted credit card or personally identifiable information to this email address. Thank you.",2015-05-12 14:31:57.000000 UTC,chat,False,"Please see below information with regards to the intended termination of Aesthetic Ambassadors from Concur Premier - Standard , Oracle Number : 21120
2. Platform they are terminating (CTE, Premier, Pro). If terminating Travel, provide the Cliqbook Site Name(s)  = Concur Premier - Standard
7. Does the client want a copy of their data and images? If they are converting to Premier, there is no charge. See your manager for the current pricing structure for providing archived data and receipt images.  - YES
8. ATTACH the Termination Notice.
: : Connect with us
Save time by l etting us review your user’s receipts and enforce your policies.  Request more info
This e-mail message is authorized for use by the intended recipient only and may contain information that is privileged and confidential. If you received this message in error, please call us immediately at (425) 590-5000 and ask to speak to the message sender. Please do not copy, disseminate, or retain this message unless you are the intended recipient. In addition, to ensure the security of your data, please do not send any unencrypted credit card or personally identifiable information to this email address. Thank you."
"hi

thank you for the email however we are no nearer or clearer to understanding which of the amalgamated claims the £105.74 has been deducted as payment from, Please can you check this and confirm which expense claim this reduction relates to and specifically which transaction(s)?

Regards

Diana

Diana Wolstenholme

PwC | Virtual Assistant to Jonathan Holmes, Stephen Jones,Nicholas Blower & Avni Mashru
Office: + 44 161 245 2539 | Mobile: +44 7841 468248
Email:
PricewaterhouseCoopers LLP
101 Barbirolli Square, Lower Mosley Street, Manchester, M2 3PW",2017-01-10 08:10:35.000000 UTC,chat,False,"thank you for the email however we are no nearer or clearer to understanding which of the amalgamated claims the £105.74 has been deducted as payment from, Please can you check this and confirm which expense claim this reduction relates to and specifically which transaction(s)?"
"Hi Ed,

Thanks for getting back to me!

I'll shoot over a time for next Wednesday. Let me know if we need to adjust the time.",2018-08-08 14:33:42.000000 UTC,chat,False,"Thanks for getting back to me!
I'll shoot over a time for next Wednesday. Let me know if we need to adjust the time."
"Bonjour,



J’ai reçu plusieurs email puisque la date de transaction de mes factures ne sont pas les mêmes que les dates de réclamations demandé. Ceci est dû au fait que ma date d’embauche est le 25 septembre 2017 et que les formations de Deloitte ont été suivi durant l’été, donc avant ma date d’embauche. Quand j’ai essayé d’entrer les dates avant ma dates d’embauche le système Concur ne m’a pas l’laisser faire, donc j’ai mis la dates de ces remboursements coïncident avec ma date d’embauche.



N’hésitez pas à me rejoindre sur Skype pour toutes questions,





Pierre-Luc Lalancette Cossette
Auditeur Adjoint | Audit et Certification

Deloitte Sociétés privées
200 rue Montcalm bureau 405, Gatineau, Québec, J8Y 3B5, Canada
Ligne directe : (613) 786-7594 | Télécopieur : (613) 236-2195
plalancettecossette@deloitte.ca |







| | |


S.V.P. pensez à l’environnement avant d’imprimer ce courriel.



Confidentiality Warning:

This message and any attachments are intended only for the use of the intended recipient(s), are confidential, and may be privileged. If you are not the intended recipient, you are hereby notified that any review, retransmission, conversion to hard copy, copying, circulation or other use of this message and any attachments is strictly prohibited. If you are not the intended recipient, please notify the sender immediately by return e-mail, and delete this message and any attachments from your system. Thank You

If you do not wish to receive future commercial electronic messages from Deloitte, forward this email to unsubscribe@deloitte.ca

Avertissement de confidentialité:

Ce message, ainsi que toutes ses pièces jointes, est destiné exclusivement au(x) destinataire(s) prévu(s), est confidentiel et peut contenir des renseignements privilégiés. Si vous n’êtes pas le destinataire prévu de ce message, nous vous avisons par la présente que la modification, la retransmission, la conversion en format papier, la reproduction, la diffusion ou toute autre utilisation de ce message et de ses pièces jointes sont strictement interdites. Si vous n’êtes pas le destinataire prévu, veuillez en aviser immédiatement l’expéditeur en répondant à ce courriel et supprimez ce message et toutes ses pièces jointes de votre système. Merci.

Si vous ne voulez pas recevoir d’autres messages électroniques commerciaux de Deloitte à l’avenir, veuillez envoyer ce courriel à l’adresse unsubscribe@deloitte.ca",2018-02-01 13:41:55.000000 UTC,chat,False,"J’ai reçu plusieurs email puisque la date de transaction de mes factures ne sont pas les mêmes que les dates de réclamations demandé. Ceci est dû au fait que ma date d’embauche est le 25 septembre 2017 et que les formations de Deloitte ont été suivi durant l’été, donc avant ma date d’embauche. Quand j’ai essayé d’entrer les dates avant ma dates d’embauche le système Concur ne m’a pas l’laisser faire, donc j’ai mis la dates de ces remboursements coïncident avec ma date d’embauche.
N’hésitez pas à me rejoindre sur Skype pour toutes questions,
This message and any attachments are intended only for the use of the intended recipient(s), are confidential, and may be privileged. If you are not the intended recipient, you are hereby notified that any review, retransmission, conversion to hard copy, copying, circulation or other use of this message and any attachments is strictly prohibited. If you are not the intended recipient, please notify the sender immediately by return e-mail, and delete this message and any attachments from your system. Thank You
If you do not wish to receive future commercial electronic messages from Deloitte, forward this email to unsubscribe@deloitte.ca
Ce message, ainsi que toutes ses pièces jointes, est destiné exclusivement au(x) destinataire(s) prévu(s), est confidentiel et peut contenir des renseignements privilégiés. Si vous n’êtes pas le destinataire prévu de ce message, nous vous avisons par la présente que la modification, la retransmission, la conversion en format papier, la reproduction, la diffusion ou toute autre utilisation de ce message et de ses pièces jointes sont strictement interdites. Si vous n’êtes pas le destinataire prévu, veuillez en aviser immédiatement l’expéditeur en répondant à ce courriel et supprimez ce message et toutes ses pièces jointes de votre système. Merci.
Si vous ne voulez pas recevoir d’autres messages électroniques commerciaux de Deloitte à l’avenir, veuillez envoyer ce courriel à l’adresse unsubscribe@deloitte.ca"
I am all set at this time.  Thanks for following up.,2018-06-08 14:37:43.000000 UTC,chat,False,I am all set at this time.  Thanks for following up.
"Reward Points not inclulded
Hi,
I made a purchase on 11/3 and tried to redeemed 400 of my points. They were taken out of my points but the code did not work when I went to the payment section. Can they be added back to my reward points balance?
Thanks, 
Liz Davis (Tjaden) 
 
 category: Question about a Payment",2021-11-19 14:55:04.625000 UTC,chat,False,"Reward Points not inclulded
I made a purchase on 11/3 and tried to redeemed 400 of my points. They were taken out of my points but the code did not work when I went to the payment section. Can they be added back to my reward points balance?"
"Nope, that works great. Thank you for clarifying for me! :)

Liz",2021-11-19 16:33:47.794000 UTC,chat,False,"Nope, that works great. Thank you for clarifying for me! :)"
"Hey Elizabeth!


Thanks for reaching out to Pura, I'm sorry for the confusion with your rewards discount code!


With rewards, points can only be redeemed and used on subscription orders. Once you redeem your points, you will not have to do anything! The code will automatically be applied to your upcoming subscription order and as soon as it is processed the amount that you redeemed will be taken off.


I looked into your account and it looks like that rewards discount code RDLQ6JDF for $20 off has been applied to your subscription order set to go out Jan. 1st with two Volcano fragrances in the order.


If you would like I can remove the code and add those 400 points back back into your account. Just let me know if that works better.
​
Thanks! :)
Jada
Pura Customer Support",2021-11-19 15:54:11.923000 UTC,chat,False,"Thanks for reaching out to Pura, I'm sorry for the confusion with your rewards discount code!
With rewards, points can only be redeemed and used on subscription orders. Once you redeem your points, you will not have to do anything! The code will automatically be applied to your upcoming subscription order and as soon as it is processed the amount that you redeemed will be taken off.
I looked into your account and it looks like that rewards discount code RDLQ6JDF for $20 off has been applied to your subscription order set to go out Jan. 1st with two Volcano fragrances in the order.
If you would like I can remove the code and add those 400 points back back into your account. Just let me know if that works better."
"Of course!


Sorry again for the confusion!


Please reach out and let us know if there is anything else we can do for you!
I hope you have a great weekend! :)​


Jada
Pura Customer Support",2021-11-19 16:56:22.670000 UTC,chat,False,"Please reach out and let us know if there is anything else we can do for you!
I hope you have a great weekend! :)​"
"Thank you for your email, I will be off work Thursday afternoon, May 13th and Friday, May 14th.. I will respond to your messages when I return on Monday, May 17th  If you require immediate assistance, please contact support below,

Thank you,

Tricia



North America

Toll-free

+1-844-670-1024

Toll

+1-346-787-2224

E-IMEA

Belgium (International)

+32 16 552112

Switzerland (International)

+41 22 3324075

APJ

China

+86 769 22403615 (x.119)



Send an email to .",2021-05-15 19:19:00.000000 UTC,chat,True,"Thank you for your email, I will be off work Thursday afternoon, May 13th and Friday, May 14th.. I will respond to your messages when I return on Monday, May 17th  If you require immediate assistance, please contact support below,
Thank you,
Send an email to ."
